text,mood,mood_score,tags,category,created_at,clean_text,tokens,tokens_no_stop,lemmatized,lemmatized_text,sentiment_label
Today I practiced mindfulness and felt calmer.,happy,8,"[""mindfulness"", ""calm""]",Self-care,2025-09-22 19:46:41.691538,today i practiced mindfulness and felt calmer,"['today', 'i', 'practiced', 'mindfulness', 'and', 'felt', 'calmer']","['today', 'practiced', 'mindfulness', 'felt', 'calmer']","['today', 'practiced', 'mindfulness', 'felt', 'calmer']",today practiced mindfulness felt calmer,positive
I felt low today. Missed some important calls and felt unproductive.,sad,3,"[""work"", ""motivation""]",Work,2025-09-22 21:56:26.714902,i felt low today missed some important calls and felt unproductive,"['i', 'felt', 'low', 'today', 'missed', 'some', 'important', 'calls', 'and', 'felt', 'unproductive']","['felt', 'low', 'today', 'missed', 'important', 'calls', 'felt', 'unproductive']","['felt', 'low', 'today', 'missed', 'important', 'call', 'felt', 'unproductive']",felt low today missed important call felt unproductive,negative
"I was worried about the upcoming presentation, couldn’t sleep well.",anxious,4,"[""presentation"", ""stress""]",Career,2025-09-22 21:56:56.809605,i was worried about the upcoming presentation couldnt sleep well,"['i', 'was', 'worried', 'about', 'the', 'upcoming', 'presentation', 'couldnt', 'sleep', 'well']","['worried', 'upcoming', 'presentation', 'couldnt', 'sleep', 'well']","['worried', 'upcoming', 'presentation', 'couldnt', 'sleep', 'well']",worried upcoming presentation couldnt sleep well,negative
Today was a great day! I went jogging and felt really energized.,happy,9,"[""exercise"", ""wellness"", ""outdoors""]",Health,2025-09-22 22:00:23.950201,today was a great day i went jogging and felt really energized,"['today', 'was', 'a', 'great', 'day', 'i', 'went', 'jogging', 'and', 'felt', 'really', 'energized']","['today', 'great', 'day', 'went', 'jogging', 'felt', 'really', 'energized']","['today', 'great', 'day', 'went', 'jogging', 'felt', 'really', 'energized']",today great day went jogging felt really energized,positive
"A normal day, went through routine tasks without anything special happening.",neutral,6,"[""routine"", ""daily""]",Personal,2025-09-22 22:01:43.580868,a normal day went through routine tasks without anything special happening,"['a', 'normal', 'day', 'went', 'through', 'routine', 'tasks', 'without', 'anything', 'special', 'happening']","['normal', 'day', 'went', 'routine', 'tasks', 'without', 'anything', 'special', 'happening']","['normal', 'day', 'went', 'routine', 'task', 'without', 'anything', 'special', 'happening']",normal day went routine task without anything special happening,negative
Struggled with focus while working on my project.,anxious,5,"[""work"", ""stress""]",Work,2025-09-25 16:20:31.888897,struggled with focus while working on my project,"['struggled', 'with', 'focus', 'while', 'working', 'on', 'my', 'project']","['struggled', 'focus', 'working', 'project']","['struggled', 'focus', 'working', 'project']",struggled focus working project,negative
I’ve been struggling with balancing work and personal life. I need to find a better routine.,anxious,6,"[""balance"", ""work-life"", ""struggle""]",Personal,2025-10-15 13:42:56.250387,ive been struggling with balancing work and personal life i need to find a better routine,"['ive', 'been', 'struggling', 'with', 'balancing', 'work', 'and', 'personal', 'life', 'i', 'need', 'to', 'find', 'a', 'better', 'routine']","['ive', 'struggling', 'balancing', 'work', 'personal', 'life', 'need', 'find', 'better', 'routine']","['ive', 'struggling', 'balancing', 'work', 'personal', 'life', 'need', 'find', 'better', 'routine']",ive struggling balancing work personal life need find better routine,neutral
Had a productive day working on my personal project. Felt good about the progress.,happy,8,"[""productivity"", ""project"", ""focus""]",Work,2025-10-15 13:47:28.573221,had a productive day working on my personal project felt good about the progress,"['had', 'a', 'productive', 'day', 'working', 'on', 'my', 'personal', 'project', 'felt', 'good', 'about', 'the', 'progress']","['productive', 'day', 'working', 'personal', 'project', 'felt', 'good', 'progress']","['productive', 'day', 'working', 'personal', 'project', 'felt', 'good', 'progress']",productive day working personal project felt good progress,positive
Feeling overwhelmed with all the tasks to do. Couldn’t get much done today.,anxious,4,"[""stress"", ""overwhelmed""]",Personal,2025-10-15 13:49:41.217262,feeling overwhelmed with all the tasks to do couldnt get much done today,"['feeling', 'overwhelmed', 'with', 'all', 'the', 'tasks', 'to', 'do', 'couldnt', 'get', 'much', 'done', 'today']","['feeling', 'overwhelmed', 'tasks', 'couldnt', 'get', 'much', 'done', 'today']","['feeling', 'overwhelmed', 'task', 'couldnt', 'get', 'much', 'done', 'today']",feeling overwhelmed task couldnt get much done today,positive
Spent the day with family. Had a nice time just relaxing and chatting.,neutral,6,"[""family"", ""relaxing"", ""quality time""]",Social,2025-10-15 13:50:13.797461,spent the day with family had a nice time just relaxing and chatting,"['spent', 'the', 'day', 'with', 'family', 'had', 'a', 'nice', 'time', 'just', 'relaxing', 'and', 'chatting']","['spent', 'day', 'family', 'nice', 'time', 'relaxing', 'chatting']","['spent', 'day', 'family', 'nice', 'time', 'relaxing', 'chatting']",spent day family nice time relaxing chatting,positive
